"Seade","Mõõtmise aeg","elektrijuhtivus","hägusus","hapnik","pH","Laekumise aeg"
"Muuli VKM","01.03.2024 00:00","911 μS/cm","23.98 NTU","11.34 mg/L","7.59","01.03.2024 00:02"
"Muuli VKM","29.02.2024 23:55","909 μS/cm","24.84 NTU","11.34 mg/L","7.59","29.02.2024 23:57"
"Muuli VKM","29.02.2024 23:50","905 μS/cm","25.91 NTU","11.34 mg/L","7.59","29.02.2024 23:57"
"Muuli VKM","29.02.2024 23:45","901 μS/cm","27.28 NTU","11.32 mg/L","7.59","29.02.2024 23:47"
"Muuli VKM","29.02.2024 23:40","897 μS/cm","29.11 NTU","11.35 mg/L","7.59","29.02.2024 23:42"
"Muuli VKM","29.02.2024 23:35","892 μS/cm","31.76 NTU","11.35 mg/L","7.59","29.02.2024 23:37"
"Muuli VKM","29.02.2024 23:30","888 μS/cm","36.24 NTU","11.35 mg/L","7.59","29.02.2024 23:32"
"Muuli VKM","29.02.2024 23:25","885 μS/cm","45.18 NTU","11.37 mg/L","7.59","29.02.2024 23:27"
"Muuli VKM","29.02.2024 23:20","881 μS/cm","50.79 NTU","11.38 mg/L","7.59","29.02.2024 23:22"
"Muuli VKM","29.02.2024 23:15","878 μS/cm","122.07 NTU","11.4 mg/L","7.59","29.02.2024 23:17"
"Muuli VKM","29.02.2024 23:10","876 μS/cm","134.89 NTU","11.45 mg/L","7.6","29.02.2024 23:12"
"Muuli VKM","29.02.2024 23:05","876 μS/cm","195.51 NTU","11.46 mg/L","7.6","29.02.2024 23:07"
"Muuli VKM","29.02.2024 23:00","871 μS/cm","73.94 NTU","11.24 mg/L","7.56","29.02.2024 23:02"
"Muuli VKM","29.02.2024 22:55","871 μS/cm","74.18 NTU","11.26 mg/L","7.56","29.02.2024 22:57"
"Muuli VKM","29.02.2024 22:50","871 μS/cm","74.4 NTU","11.28 mg/L","7.56","29.02.2024 22:52"
"Muuli VKM","29.02.2024 22:45","871 μS/cm","74.62 NTU","11.28 mg/L","7.56","29.02.2024 22:47"
"Muuli VKM","29.02.2024 22:40","872 μS/cm","74.83 NTU","11.31 mg/L","7.57","29.02.2024 22:42"
"Muuli VKM","29.02.2024 22:35","871 μS/cm","75.08 NTU","11.31 mg/L","7.57","29.02.2024 22:37"
"Muuli VKM","29.02.2024 22:30","870 μS/cm","75.3 NTU","11.3 mg/L","7.58","29.02.2024 22:32"
"Muuli VKM","29.02.2024 22:25","871 μS/cm","75.52 NTU","11.33 mg/L","7.58","29.02.2024 22:27"
"Muuli VKM","29.02.2024 22:20","871 μS/cm","75.77 NTU","11.3 mg/L","7.58","29.02.2024 22:22"
"Muuli VKM","29.02.2024 22:15","871 μS/cm","76.08 NTU","11.32 mg/L","7.58","29.02.2024 22:17"
"Muuli VKM","29.02.2024 22:10","871 μS/cm","76.55 NTU","11.31 mg/L","7.58","29.02.2024 22:12"
"Muuli VKM","29.02.2024 22:05","870 μS/cm","76.88 NTU","11.3 mg/L","7.58","29.02.2024 22:07"
"Muuli VKM","29.02.2024 22:00","869 μS/cm","72.1 NTU","11.36 mg/L","7.58","29.02.2024 22:02"
"Muuli VKM","29.02.2024 21:55","868 μS/cm","71.72 NTU","11.34 mg/L","7.59","29.02.2024 21:57"
"Muuli VKM","29.02.2024 21:50","866 μS/cm","71.18 NTU","11.32 mg/L","7.59","29.02.2024 21:52"
