"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","01.06.2024 00:00","0.03 m","48.43 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:55","0.03 m","48.3 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:50","0.03 m","52.14 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:45","0.03 m","49.81 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:40","0.03 m","52.28 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:35","0.03 m","52.28 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:30","0.03 m","49.81 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:25","0.03 m","51.04 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:20","0.03 m","53.79 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:15","0.03 m","52.28 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:10","0.03 m","52.28 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:05","0.03 m","52.28 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 23:00","0.03 m","52.42 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:55","0.03 m","53.65 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:50","0.03 m","46.92 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:45","0.03 m","50.91 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:40","0.03 m","53.52 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:35","0.03 m","55.03 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:30","0.03 m","52.28 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:25","0.03 m","53.65 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:20","0.03 m","50.91 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:15","0.03 m","54.89 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:10","0.03 m","46.92 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:05","0.03 m","54.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 22:00","0.03 m","54.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:55","0.03 m","57.36 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:50","0.03 m","53.65 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:45","0.03 m","55.03 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:40","0.03 m","58.74 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:35","0.03 m","53.52 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:30","0.03 m","56.27 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:25","0.03 m","53.38 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:20","0.03 m","49.67 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:15","0.03 m","48.3 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:10","0.03 m","57.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:05","0.03 m","54.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 21:00","0.03 m","49.67 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 20:55","0.03 m","50.91 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 20:50","0.03 m","54.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 20:45","0.03 m","53.38 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 20:40","0.03 m","54.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 20:35","0.03 m","54.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 20:30","0.03 m","56.13 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 20:25","0.03 m","53.65 m³/h","","01.07.2024 16:56"
