"Seade","Mõõtmise aeg","elektrijuhtivus","hägusus","hapnik","pH","Laekumise aeg"
"Muuli VKM","01.06.2024 00:00","928 μS/cm","97.13 NTU","4.47 mg/L","7.37","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:55","923 μS/cm","93.85 NTU","4.51 mg/L","7.37","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:50","920 μS/cm","93.1 NTU","4.57 mg/L","7.38","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:45","918 μS/cm","93.24 NTU","4.62 mg/L","7.39","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:40","915 μS/cm","93.29 NTU","4.7 mg/L","7.4","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:35","913 μS/cm","93.39 NTU","4.79 mg/L","7.42","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:30","911 μS/cm","93.42 NTU","4.91 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:25","909 μS/cm","93.41 NTU","5.05 mg/L","7.47","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:20","906 μS/cm","93.51 NTU","5.28 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:15","904 μS/cm","93.3 NTU","5.48 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:10","904 μS/cm","91.38 NTU","5.59 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:05","906 μS/cm","95.12 NTU","5.61 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 23:00","887 μS/cm","96.01 NTU","5.04 mg/L","7.42","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:55","886 μS/cm","96.14 NTU","5.05 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:50","887 μS/cm","96.23 NTU","5.07 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:45","886 μS/cm","96.44 NTU","5.08 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:40","886 μS/cm","96.54 NTU","5.08 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:35","886 μS/cm","96.6 NTU","5.09 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:30","885 μS/cm","96.58 NTU","5.11 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:25","885 μS/cm","96.64 NTU","5.14 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:20","885 μS/cm","96.77 NTU","5.14 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:15","884 μS/cm","96.84 NTU","5.13 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:10","884 μS/cm","97.15 NTU","5.16 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:05","884 μS/cm","98 NTU","5.19 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 22:00","883 μS/cm","98.22 NTU","5.22 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:55","883 μS/cm","98.35 NTU","5.25 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:50","882 μS/cm","98.59 NTU","5.26 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:45","887 μS/cm","98.97 NTU","5.31 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:40","892 μS/cm","99.51 NTU","5.36 mg/L","7.46","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:35","897 μS/cm","100.24 NTU","5.4 mg/L","7.47","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:30","902 μS/cm","101.06 NTU","5.49 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:25","907 μS/cm","102.64 NTU","5.59 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:20","912 μS/cm","105.52 NTU","5.75 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:15","917 μS/cm","52.46 NTU","5.84 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:10","921 μS/cm","50.27 NTU","5.89 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:05","927 μS/cm","85.21 NTU","5.84 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 21:00","917 μS/cm","83.9 NTU","4.9 mg/L","7.41","01.07.2024 16:55"
