Mõõtmise aeg,elektrijuhtivus,hägusus,hapnik,pH
01.03.2023 00:00,1147,76.15,12.51,7.8
28.02.2023 23:55,1149,75.63,12.51,7.8
28.02.2023 23:50,1151,75.16,12.48,7.8
28.02.2023 23:45,1152,74.54,12.52,7.8
28.02.2023 23:40,1153,74.34,12.51,7.8
28.02.2023 23:35,1155,75.28,12.53,7.8
28.02.2023 23:30,1156,73.89,12.51,7.8
28.02.2023 23:25,1157,72.88,12.53,7.8
28.02.2023 23:20,1158,73.06,12.55,7.8
28.02.2023 23:15,1159,73.69,12.54,7.8
28.02.2023 23:10,1160,74.87,12.51,7.8
28.02.2023 23:05,1161,77.44,12.54,7.8
28.02.2023 23:00,1162,77.74,12.55,7.8
28.02.2023 22:55,1163,78.83,12.57,7.8
28.02.2023 22:50,1164,80.75,12.57,7.8
28.02.2023 22:45,1164,81.07,12.57,7.8
28.02.2023 22:40,1165,82.38,12.57,7.8
28.02.2023 22:35,1166,83.5,12.59,7.8
28.02.2023 22:30,1167,83.48,12.6,7.8
28.02.2023 22:25,1167,84.25,12.58,7.8
28.02.2023 22:20,1167,83.73,12.57,7.8
28.02.2023 22:15,1166,81.52,12.62,7.8
28.02.2023 22:10,1166,81.45,12.6,7.8
28.02.2023 22:05,1165,81.3,12.62,7.8
28.02.2023 22:00,1166,79.64,12.64,7.8
28.02.2023 21:55,1164,79.45,12.65,7.8
28.02.2023 21:50,1163,78.8,12.66,7.8
28.02.2023 21:45,1162,78.35,12.65,7.8
28.02.2023 21:40,1160,77.8,12.64,7.8
28.02.2023 21:35,1158,75.68,12.63,7.8
28.02.2023 21:30,1157,74.11,12.66,7.8
28.02.2023 21:25,1156,73.94,12.61,7.8
28.02.2023 21:20,1155,72.55,12.65,7.8
28.02.2023 21:15,1154,71.2,12.62,7.8
28.02.2023 21:10,1153,72.91,12.62,7.8
28.02.2023 21:05,1152,72.14,12.62,7.8
28.02.2023 21:00,1151,71.88,12.61,7.8
28.02.2023 20:55,1150,71.2,12.6,7.8
28.02.2023 20:50,1149,71.39,12.58,7.8
28.02.2023 20:45,1149,72.73,12.56,7.79
28.02.2023 20:40,1148,75.84,12.58,7.79
28.02.2023 20:35,1147,75.16,12.56,7.79
28.02.2023 20:30,1146,79.97,12.57,7.79
