"Seade","Mõõtmise aeg","elektrijuhtivus","hägusus","hapnik","pH","Laekumise aeg"
"Muuli VKM","01.12.2023 00:00","881 μS/cm","150.38 NTU","9.16 mg/L","7.55","01.12.2023 00:02"
"Muuli VKM","30.11.2023 23:55","878 μS/cm","150.28 NTU","9.23 mg/L","7.55","30.11.2023 23:57"
"Muuli VKM","30.11.2023 23:50","875 μS/cm","150.32 NTU","9.28 mg/L","7.56","30.11.2023 23:52"
"Muuli VKM","30.11.2023 23:45","875 μS/cm","150.28 NTU","9.4 mg/L","7.56","30.11.2023 23:47"
"Muuli VKM","30.11.2023 23:40","875 μS/cm","150.45 NTU","9.49 mg/L","7.57","30.11.2023 23:42"
"Muuli VKM","30.11.2023 23:35","874 μS/cm","150.74 NTU","9.59 mg/L","7.57","30.11.2023 23:37"
"Muuli VKM","30.11.2023 23:30","874 μS/cm","151.07 NTU","9.73 mg/L","7.58","30.11.2023 23:32"
"Muuli VKM","30.11.2023 23:25","873 μS/cm","151.75 NTU","9.9 mg/L","7.58","30.11.2023 23:27"
"Muuli VKM","30.11.2023 23:20","873 μS/cm","152.51 NTU","10.16 mg/L","7.58","30.11.2023 23:22"
"Muuli VKM","30.11.2023 23:15","875 μS/cm","54.8 NTU","10.45 mg/L","7.58","30.11.2023 23:17"
"Muuli VKM","30.11.2023 23:10","879 μS/cm","51.74 NTU","10.62 mg/L","7.59","30.11.2023 23:12"
"Muuli VKM","30.11.2023 23:05","881 μS/cm","45.88 NTU","10.6 mg/L","7.57","30.11.2023 23:07"
"Muuli VKM","30.11.2023 23:00","878 μS/cm","155.46 NTU","9.98 mg/L","7.54","30.11.2023 23:02"
"Muuli VKM","30.11.2023 22:55","877 μS/cm","155.16 NTU","10.03 mg/L","7.54","30.11.2023 22:57"
"Muuli VKM","30.11.2023 22:50","876 μS/cm","155.02 NTU","10.03 mg/L","7.54","30.11.2023 22:52"
"Muuli VKM","30.11.2023 22:45","876 μS/cm","154.88 NTU","10.07 mg/L","7.55","30.11.2023 22:47"
"Muuli VKM","30.11.2023 22:40","876 μS/cm","154.77 NTU","10.01 mg/L","7.55","30.11.2023 22:42"
"Muuli VKM","30.11.2023 22:35","875 μS/cm","154.68 NTU","10.08 mg/L","7.55","30.11.2023 22:37"
"Muuli VKM","30.11.2023 22:30","875 μS/cm","154.57 NTU","10.1 mg/L","7.56","30.11.2023 22:32"
"Muuli VKM","30.11.2023 22:25","875 μS/cm","154.52 NTU","10.11 mg/L","7.56","30.11.2023 22:27"
"Muuli VKM","30.11.2023 22:20","875 μS/cm","154.52 NTU","10.11 mg/L","7.56","30.11.2023 22:22"
"Muuli VKM","30.11.2023 22:15","875 μS/cm","153.41 NTU","10.13 mg/L","7.57","30.11.2023 22:17"
"Muuli VKM","30.11.2023 22:10","875 μS/cm","153.24 NTU","10.19 mg/L","7.57","30.11.2023 22:12"
"Muuli VKM","30.11.2023 22:05","874 μS/cm","152.12 NTU","10.21 mg/L","7.58","30.11.2023 22:07"
"Muuli VKM","30.11.2023 22:00","874 μS/cm","145.15 NTU","10.24 mg/L","7.58","30.11.2023 22:02"
"Muuli VKM","30.11.2023 21:55","871 μS/cm","136.06 NTU","10.27 mg/L","7.59","30.11.2023 21:57"
"Muuli VKM","30.11.2023 21:50","868 μS/cm","141.52 NTU","10.3 mg/L","7.59","30.11.2023 21:52"
"Muuli VKM","30.11.2023 21:45","867 μS/cm","140.94 NTU","10.35 mg/L","7.59","30.11.2023 21:47"
"Muuli VKM","30.11.2023 21:40","865 μS/cm","140.26 NTU","10.37 mg/L","7.6","30.11.2023 21:42"
