"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","01.12.2023 00:00","0.04 m","94.05 m³/h","","01.12.2023 00:02"
"Muuli tee","30.11.2023 23:55","0.04 m","96.52 m³/h","","30.11.2023 23:57"
"Muuli tee","30.11.2023 23:50","0.04 m","93.91 m³/h","","30.11.2023 23:52"
"Muuli tee","30.11.2023 23:45","0.04 m","95.29 m³/h","","30.11.2023 23:47"
"Muuli tee","30.11.2023 23:40","0.04 m","95.29 m³/h","","30.11.2023 23:42"
"Muuli tee","30.11.2023 23:35","0.04 m","96.39 m³/h","","30.11.2023 23:37"
"Muuli tee","30.11.2023 23:30","0.04 m","91.71 m³/h","","30.11.2023 23:32"
"Muuli tee","30.11.2023 23:25","0.04 m","92.81 m³/h","","30.11.2023 23:27"
"Muuli tee","30.11.2023 23:20","0.04 m","96.52 m³/h","","30.11.2023 23:22"
"Muuli tee","30.11.2023 23:15","0.04 m","90.48 m³/h","","30.11.2023 23:17"
"Muuli tee","30.11.2023 23:10","0.04 m","96.39 m³/h","","30.11.2023 23:12"
"Muuli tee","30.11.2023 23:05","0.04 m","98.72 m³/h","","30.11.2023 23:07"
"Muuli tee","30.11.2023 23:00","0.04 m","97.49 m³/h","","30.11.2023 23:02"
"Muuli tee","30.11.2023 22:55","0.04 m","98.72 m³/h","","30.11.2023 22:57"
"Muuli tee","30.11.2023 22:50","0.04 m","92.95 m³/h","","30.11.2023 22:52"
"Muuli tee","30.11.2023 22:45","0.04 m","91.58 m³/h","","30.11.2023 22:47"
"Muuli tee","30.11.2023 22:40","0.04 m","97.49 m³/h","","30.11.2023 22:42"
"Muuli tee","30.11.2023 22:35","0.04 m","98.86 m³/h","","30.11.2023 22:37"
"Muuli tee","30.11.2023 22:30","0.04 m","96.52 m³/h","","30.11.2023 22:32"
"Muuli tee","30.11.2023 22:25","0.04 m","93.91 m³/h","","30.11.2023 22:27"
"Muuli tee","30.11.2023 22:20","0.04 m","94.05 m³/h","","30.11.2023 22:22"
"Muuli tee","30.11.2023 22:15","0.04 m","97.62 m³/h","","30.11.2023 22:17"
"Muuli tee","30.11.2023 22:10","0.04 m","94.05 m³/h","","30.11.2023 22:12"
"Muuli tee","30.11.2023 22:05","0.04 m","91.58 m³/h","","30.11.2023 22:07"
"Muuli tee","30.11.2023 22:00","0.04 m","89.24 m³/h","","30.11.2023 22:02"
"Muuli tee","30.11.2023 21:55","0.04 m","95.29 m³/h","","30.11.2023 21:57"
"Muuli tee","30.11.2023 21:50","0.04 m","91.71 m³/h","","30.11.2023 21:52"
"Muuli tee","30.11.2023 21:45","0.04 m","93.91 m³/h","","30.11.2023 21:47"
"Muuli tee","30.11.2023 21:40","0.04 m","94.05 m³/h","","30.11.2023 21:42"
"Muuli tee","30.11.2023 21:35","0.04 m","95.29 m³/h","","30.11.2023 21:37"
"Muuli tee","30.11.2023 21:30","0.04 m","95.15 m³/h","","30.11.2023 21:32"
"Muuli tee","30.11.2023 21:25","0.04 m","97.76 m³/h","","30.11.2023 21:27"
"Muuli tee","30.11.2023 21:20","0.04 m","90.34 m³/h","","30.11.2023 21:22"
"Muuli tee","30.11.2023 21:15","0.04 m","89.24 m³/h","","30.11.2023 21:17"
"Muuli tee","30.11.2023 21:10","0.04 m","87.73 m³/h","","30.11.2023 21:12"
"Muuli tee","30.11.2023 21:05","0.04 m","93.91 m³/h","","30.11.2023 21:07"
"Muuli tee","30.11.2023 21:00","0.04 m","89.24 m³/h","","30.11.2023 21:02"
"Muuli tee","30.11.2023 20:55","0.04 m","92.95 m³/h","","30.11.2023 20:57"
"Muuli tee","30.11.2023 20:50","0.04 m","93.91 m³/h","","30.11.2023 20:52"
"Muuli tee","30.11.2023 20:45","0.04 m","91.44 m³/h","","30.11.2023 20:47"
"Muuli tee","30.11.2023 20:40","0.04 m","97.76 m³/h","","30.11.2023 20:42"
"Muuli tee","30.11.2023 20:35","0.04 m","95.15 m³/h","","30.11.2023 20:37"
"Muuli tee","30.11.2023 20:30","0.04 m","95.15 m³/h","","30.11.2023 20:32"
"Muuli tee","30.11.2023 20:25","0.04 m","89.38 m³/h","","30.11.2023 20:27"
"Muuli tee","30.11.2023 20:20","0.04 m","96.39 m³/h","","30.11.2023 20:22"
"Muuli tee","30.11.2023 20:15","0.04 m","92.81 m³/h","","30.11.2023 20:17"
"Muuli tee","30.11.2023 20:10","0.04 m","91.85 m³/h","","30.11.2023 20:12"
"Muuli tee","30.11.2023 20:05","0.04 m","94.19 m³/h","","30.11.2023 20:07"
"Muuli tee","30.11.2023 20:00","0.04 m","89.38 m³/h","","30.11.2023 20:02"
"Muuli tee","30.11.2023 19:55","0.04 m","90.34 m³/h","","30.11.2023 19:57"
"Muuli tee","30.11.2023 19:50","0.04 m","90.48 m³/h","","30.11.2023 19:52"
"Muuli tee","30.11.2023 19:45","0.04 m","89.24 m³/h","","30.11.2023 19:47"
"Muuli tee","30.11.2023 19:40","0.04 m","93.78 m³/h","","30.11.2023 19:42"
"Muuli tee","30.11.2023 19:35","0.04 m","89.24 m³/h","","30.11.2023 19:37"
"Muuli tee","30.11.2023 19:30","0.04 m","91.71 m³/h","","30.11.2023 19:32"
"Muuli tee","30.11.2023 19:25","0.04 m","94.05 m³/h","","30.11.2023 19:27"
"Muuli tee","30.11.2023 19:20","0.04 m","95.15 m³/h","","30.11.2023 19:22"
"Muuli tee","30.11.2023 19:15","0.04 m","92.54 m³/h","","30.11.2023 19:17"
"Muuli tee","30.11.2023 19:10","0.04 m","88 m³/h","","30.11.2023 19:12"
"Muuli tee","30.11.2023 19:05","0.04 m","89.24 m³/h","","30.11.2023 19:07"
"Muuli tee","30.11.2023 19:00","0.04 m","93.91 m³/h","","30.11.2023 19:02"
"Muuli tee","30.11.2023 18:55","0.04 m","92.81 m³/h","","30.11.2023 18:57"
"Muuli tee","30.11.2023 18:50","0.04 m","95.15 m³/h","","30.11.2023 18:52"
"Muuli tee","30.11.2023 18:45","0.04 m","88 m³/h","","30.11.2023 18:47"
"Muuli tee","30.11.2023 18:40","0.04 m","96.52 m³/h","","30.11.2023 18:42"
"Muuli tee","30.11.2023 18:35","0.04 m","90.48 m³/h","","30.11.2023 18:37"
"Muuli tee","30.11.2023 18:30","0.04 m","89.24 m³/h","","30.11.2023 18:32"
"Muuli tee","30.11.2023 18:25","0.04 m","90.48 m³/h","","30.11.2023 18:27"
"Muuli tee","30.11.2023 18:20","0.04 m","94.05 m³/h","","30.11.2023 18:22"
"Muuli tee","30.11.2023 18:15","0.04 m","83.2 m³/h","","30.11.2023 18:17"
"Muuli tee","30.11.2023 18:10","0.04 m","94.05 m³/h","","30.11.2023 18:12"
"Muuli tee","30.11.2023 18:05","0.04 m","92.68 m³/h","","30.11.2023 18:07"
